Node1 (id);Node2 (id);Path type;Path;Delay (mks)
9;0;main;[9, 3, 6, 0];7191.70198
9;1;main;[9, 3, 6, 1];8651.7197
9;2;main;[9, 2];2011.07537
9;3;main;[9, 3];3798.42401
9;4;main;[9, 5, 4];6358.91683
9;5;main;[9, 5];3613.91893
9;6;main;[9, 3, 6];6568.68928
9;7;main;[9, 3, 6, 7];7526.00875
9;8;main;[9, 8];1956.59739
9;10;main;[9, 13, 10];7658.96296
9;11;main;[9, 13, 11];5980.06112
9;12;main;[9, 13, 12];6190.71013
9;13;main;[9, 13];4237.09603
9;14;main;[9, 5, 14];6719.1338
9;15;main;[9, 16, 15];6146.29654
9;16;main;[9, 16];1860.83783
9;17;main;[9, 16, 17];13468.28809
9;18;main;[9, 16, 15, 21, 18];13129.74518
9;19;main;[9, 2, 20, 19];16531.69438
9;20;main;[9, 2, 20];15411.651
9;21;main;[9, 16, 15, 21];9014.44916
9;22;main;[9, 22];12265.99555
9;23;main;[9, 22, 23];13129.26362
9;24;main;[9, 13, 12, 24];12738.56527
