Node1 (id);Node1 (label);Node1 (latitude);Node1 (longitude);Node2 (id);Node2 (label);Node2 (latitude);Node2 (longitude);Distance (km);Delay (mks)
0;NY54;40.71427;-74.00597;1;CMBR;42.3751;-71.10561;304.22878;1460.29813
0;NY54;40.71427;-74.00597;2;CHCG;41.85003;-87.65005;1147.12079;5506.1798
0;NY54;40.71427;-74.00597;6;PHLA;39.95234;-75.16379;129.79431;623.0127
0;NY54;40.71427;-74.00597;7;WASH;38.89511;-77.03637;328.85871;1578.5218
1;CMBR;42.3751;-71.10561;0;NY54;40.71427;-74.00597;304.22878;1460.29813
1;CMBR;42.3751;-71.10561;6;PHLA;39.95234;-75.16379;433.96467;2083.03042
2;CHCG;41.85003;-87.65005;0;NY54;40.71427;-74.00597;1147.12079;5506.1798
2;CHCG;41.85003;-87.65005;3;CLEV;41.4995;-81.69541;496.55075;2383.4436
2;CHCG;41.85003;-87.65005;6;PHLA;39.95234;-75.16379;1070.58959;5138.83002
2;CHCG;41.85003;-87.65005;9;STLS;38.62727;-90.19789;418.97403;2011.07537
2;CHCG;41.85003;-87.65005;15;DNVR;39.73915;-104.9847;1477.03467;7089.76642
2;CHCG;41.85003;-87.65005;16;KSCY;39.11417;-94.62746;664.36656;3188.95951
2;CHCG;41.85003;-87.65005;17;SNFN;37.77493;-122.41942;2986.73405;14336.32346
2;CHCG;41.85003;-87.65005;20;STTL;47.60621;-122.33207;2791.78659;13400.57563
2;CHCG;41.85003;-87.65005;21;SLKC;40.76078;-111.89105;2024.00113;9715.20543
3;CLEV;41.4995;-81.69541;2;CHCG;41.85003;-87.65005;496.55075;2383.4436
3;CLEV;41.4995;-81.69541;6;PHLA;39.95234;-75.16379;577.1386;2770.26527
3;CLEV;41.4995;-81.69541;8;NSVL;36.16589;-86.78444;739.45989;3549.40749
3;CLEV;41.4995;-81.69541;9;STLS;38.62727;-90.19789;791.33834;3798.42401
4;RLGH;35.7721;-78.63861;5;ATLN;33.749;-84.38798;571.87456;2744.9979
4;RLGH;35.7721;-78.63861;7;WASH;38.89511;-77.03637;375.4463;1802.14226
5;ATLN;33.749;-84.38798;4;RLGH;35.7721;-78.63861;571.87456;2744.9979
5;ATLN;33.749;-84.38798;7;WASH;38.89511;-77.03637;872.90323;4189.93549
5;ATLN;33.749;-84.38798;8;NSVL;36.16589;-86.78444;346.656;1663.9488
5;ATLN;33.749;-84.38798;9;STLS;38.62727;-90.19789;752.89978;3613.91893
5;ATLN;33.749;-84.38798;13;DLLS;32.78306;-96.80667;1160.18458;5568.88596
5;ATLN;33.749;-84.38798;14;ORLD;28.53834;-81.37924;646.91976;3105.21487
6;PHLA;39.95234;-75.16379;0;NY54;40.71427;-74.00597;129.79431;623.0127
6;PHLA;39.95234;-75.16379;1;CMBR;42.3751;-71.10561;433.96467;2083.03042
6;PHLA;39.95234;-75.16379;2;CHCG;41.85003;-87.65005;1070.58959;5138.83002
6;PHLA;39.95234;-75.16379;3;CLEV;41.4995;-81.69541;577.1386;2770.26527
6;PHLA;39.95234;-75.16379;7;WASH;38.89511;-77.03637;199.44156;957.31947
7;WASH;38.89511;-77.03637;0;NY54;40.71427;-74.00597;328.85871;1578.5218
7;WASH;38.89511;-77.03637;4;RLGH;35.7721;-78.63861;375.4463;1802.14226
7;WASH;38.89511;-77.03637;5;ATLN;33.749;-84.38798;872.90323;4189.93549
7;WASH;38.89511;-77.03637;6;PHLA;39.95234;-75.16379;199.44156;957.31947
8;NSVL;36.16589;-86.78444;3;CLEV;41.4995;-81.69541;739.45989;3549.40749
8;NSVL;36.16589;-86.78444;5;ATLN;33.749;-84.38798;346.656;1663.9488
8;NSVL;36.16589;-86.78444;9;STLS;38.62727;-90.19789;407.62446;1956.59739
8;NSVL;36.16589;-86.78444;13;DLLS;32.78306;-96.80667;993.19347;4767.32863
9;STLS;38.62727;-90.19789;2;CHCG;41.85003;-87.65005;418.97403;2011.07537
9;STLS;38.62727;-90.19789;3;CLEV;41.4995;-81.69541;791.33834;3798.42401
9;STLS;38.62727;-90.19789;5;ATLN;33.749;-84.38798;752.89978;3613.91893
